"source";"target";"Weight"
760;762;4
762;793;3
762;180809;3
764;84397;3
765;880;3
765;1969;3
765;7815;3
765;15631;5
765;15632;4
765;70258;3
769;660;3
769;2535;4
769;8617;4
769;9309;4
771;924;3
771;1161;3
771;5581;3
771;5893;3
771;11572;3
771;54344;3
780;155;3
780;915;3
780;1185;3
780;1531;4
780;1935;3
780;2212;4
780;2213;5
780;25323;5
785;155;4
785;6191;3
785;8839;3
785;10100;3
785;26247;3
785;37658;5
785;71351;3
785;82238;3
787;10167;3
791;263;3
791;1054;3
791;1106;3
791;1541;3
791;1794;3
791;2630;3
793;885;8
793;1297;3
793;1301;5
793;1400;4
793;3069;7
793;3682;4
793;3688;3
795;117;7
795;797;3
795;1339;5
795;4293;3
798;24958;3
799;3889;3
812;1377;3
815;5390;3
815;39340;3
823;117;3
823;926;4
823;1161;4
823;1310;3
823;1632;3
823;1633;3
823;2657;6
823;40239;5
825;6593;3
825;10339;3
825;11850;3
825;100662;4
825;145517;3
825;223137;3
825;223138;3
846;242635;4
847;262;3
848;10;3
848;1289;3
848;1827;3
848;2660;3
848;4978;4
848;12581;3
848;45093;3
852;2875;4
852;2876;3
852;10480;6
852;12972;6
852;14017;4
852;15126;3
852;21594;6
852;30471;3
852;40174;3
852;53461;3
852;60219;3
852;104905;4
852;453386;4
859;893;3
859;924;8
859;1731;4
859;2767;3
859;6226;3
859;6787;3
859;14838;3
859;17044;3
859;19117;3
859;53251;3
859;62895;3
859;62909;3
859;93036;3
859;241855;3
868;16229;3
878;6;3
878;1149;4
878;4788;3
878;5090;3
878;12470;4
878;14682;3
878;15126;5
878;15571;3
878;21312;3
878;29666;4
878;30273;3
878;30278;3
878;30712;4
878;34377;3
880;3029;4
880;8092;3
880;15631;3
880;83391;3
885;448;5
885;1400;14
885;3006;4
885;3069;18
885;3070;6
885;3071;5
885;3073;9
885;3406;4
885;3682;9
885;4397;7
885;4402;3
885;11898;4
885;145765;4
886;2147;3
886;5969;3
886;30159;3
890;1431;3
891;546;9
891;892;5
891;893;8
893;546;10
893;892;6
893;3628;4
893;6593;4
893;17044;5
893;19117;4
893;53251;3
893;55826;3
893;62895;3
893;62909;3
893;68196;3
893;69072;3
895;133;3
895;3311;3
895;5985;3
902;35;3
902;903;4
903;12922;3
903;15570;3
903;16159;4
903;21596;3
903;25754;3
903;27953;3
903;31355;3
903;41609;3
903;147891;3
904;1400;3
904;1563;3
904;3175;5
904;3373;3
904;6191;3
904;13758;3
904;17025;3
904;59410;3
905;1047;4
905;1260;6
905;1952;3
905;2596;3
905;3175;3
905;60027;3
915;630;3
915;946;5
915;1938;4
915;5947;3
915;9403;5
915;15881;3
916;946;3
916;16966;3
922;1668;3
922;6530;3
922;16217;3
922;17055;4
922;17690;3
922;19263;3
922;21319;4
922;215244;3
923;630;4
923;1642;3
923;2083;3
923;6417;3
923;20815;3
923;32943;3
923;42336;3
923;72064;3
923;93737;3
926;924;3
926;1952;3
926;2657;3
926;6999;3
926;33322;3
926;35496;3
930;80;3
930;4536;3
930;6625;3
930;29173;3
930;62311;3
930;101231;3
939;1558;3
939;43427;3
946;630;3
946;1920;3
946;4124;4
946;5290;5
946;6796;4
946;11645;3
946;13341;3
946;67465;3
947;974;7
947;3989;5
947;4788;3
947;6920;3
947;8743;4
947;9403;3
947;11852;3
947;14537;4
947;14585;5
947;16966;3
947;24498;4
947;27912;4
947;46797;3
947;85120;3
949;17445;3
952;1377;3
952;1696;3
952;2372;3
952;2890;4
954;8;4
954;2181;3
954;2766;3
954;2947;5
954;2997;3
954;5292;4
954;5293;3
954;6212;3
954;27146;4
960;45383;3
972;630;3
974;1377;5
974;1398;3
974;2608;5
974;3911;3
974;4504;4
974;4636;3
974;7982;3
974;8027;4
974;10323;5
974;13561;3
974;24498;11
974;26247;13
974;27912;6
976;630;3
979;1919;4
979;2173;4
979;2374;3
979;2496;3
979;20679;4
979;136950;3
981;21316;3
987;5992;3
989;990;4
989;1414;8
989;1563;4
989;3390;3
989;7146;3
989;17232;3
992;2115;3
992;5488;4
992;7982;3
992;18572;3
994;1299;3
994;1414;3
994;3600;3
994;3782;3
994;5734;3
995;1206;3
995;2987;3
1001;1357;5
1001;5902;3
1001;9765;3
1001;20204;3
1001;28485;3
1002;630;3
1002;1187;3
1002;2319;3
1002;3153;3
1002;4676;4
1002;5790;4
1002;5903;3
1002;25019;3
1002;32162;3
1002;606024;3
1002;641689;3
1004;2078;3
1004;2080;4
1004;5517;3
1004;6230;5
1004;21714;3
1004;24871;3
1006;1007;3
1006;155247;3
1008;1009;13
1008;1010;14
1008;8338;9
1008;8402;12
1008;9239;5
1008;11025;4
1008;11528;5
1008;17368;5
1008;29445;3
1008;29743;5
1008;32202;5
1008;90925;4
1008;91434;4
1008;99272;3
1009;1010;13
1009;8338;9
1009;8402;12
1009;9239;5
1009;11025;3
1009;11528;5
1009;17368;5
1009;29445;3
1009;29743;4
1009;32202;5
1009;90925;3
1009;91434;4
1009;99272;3
1010;8338;9
1010;8402;13
1010;9239;5
1010;11025;5
1010;11528;5
1010;15037;3
1010;17368;5
1010;29445;4
1010;29743;6
1010;32202;5
1010;90925;4
1010;91434;4
1010;99272;3
1014;10378;3
1014;21360;3
1015;7541;3
1015;15405;3
1015;39448;3
1016;472;4
1016;2883;3
1016;3184;5
1016;4243;4
1016;5197;3
1016;5233;4
1016;5246;3
1016;6200;3
1016;17087;4
1016;52971;3
1016;68258;3
1023;2909;3
1027;1029;9
1027;3146;4
1027;3556;4
1027;4202;3
1027;4204;6
1027;6810;3
1027;10551;4
1027;14017;4
1027;14018;5
1027;15126;6
1027;15356;3
1027;18069;4
1027;51779;19
1029;120;3
1029;1422;4
1029;3556;3
1029;4205;3
1029;6810;4
1029;7542;5
1029;13771;3
1029;21625;4
1029;27868;3
1029;30278;3
1029;47819;3
1029;51779;6
1030;2334;3
1030;5199;3
1030;10543;3
1030;14751;3
1030;14873;3
1030;15281;3
1030;17388;4
1030;17389;3
1030;96756;3
1033;6181;3
1033;8309;3
1033;14369;4
1033;107903;4
1033;138845;3
1038;11168;3
1045;1260;3
1045;1266;3
1045;1305;4
1045;1308;3
1045;2630;4
1045;5149;3
1045;13696;3
1045;18007;3
1045;70684;4
1047;1603;3
1047;2289;3
1049;1050;3
1049;4494;5
1049;4636;4
1049;5390;3
1049;5642;5
1049;6154;3
1049;13299;5
1049;15330;4
1049;42336;3
1049;48049;3
1049;50780;3
1050;7775;3
1050;11644;3
1052;12470;3
1052;13604;3
1052;13925;3
1052;16335;3
1052;24958;3
1052;149392;3
1053;12630;3
1053;16734;3
1053;27633;3
1054;2652;6
1054;4028;3
1054;7519;3
1054;9433;4
1054;11666;3
1054;19056;3
1056;676;5
1056;707;3
1056;1305;3
1056;1635;3
