"Id";"country";"actor_name";"edad";"year_nacimiento";"pelis";"series";"genero_def";"edad_inicio_carrera";"genero_cine_main";"porc_genero_cine_main";"type_race";"prob_race";"age_by_picture";"year_nacimiento_from_1875";"author_graph";"profesion_main";"total_trabajos";"porc_profesion_main"
"6459";"Switzerland";"Vincent Perez";56;1964;49;1;"M";26;"Drama";42;"white";90;34;89;"";;;
"109034";"United States of America";"Bob Odenkirk";58;1962;27;22;"M";28;"Comedia";53;"white";93;46;87;"";;;
"82692";"Spain";"Maria Pujalte";54;1966;18;9;"F";30;"Comedia";52;"white";64;25;91;"";;;
"9076";"United States of America";"Bill Pullman";67;1953;65;4;"M";35;"Drama";35;"white";100;26;78;"";;;
"165792";"United States of America";"Common";49;1972;39;4;"M";33;"Drama";33;"black";100;33;97;"";;;
"34594";"United Kingdom";"James Cosmo";72;1948;33;17;"M";39;"Aventura";31;"white";100;53;73;"";;;
"21081";"Canada";"Jason Priestley";51;1969;26;31;"M";19;"Drama";36;"white";100;29;94;"";;;
"89775";"United States of America";"Jesse Eisenberg";37;1983;37;1;"M";19;"Comedia";35;"white";99;24;108;"";;;
"491819";"United Kingdom";"Jonny Phillips";;;;;"M";;"";;"white";97;42;;;;;
"15411";"Spain";"Juan Echanove";60;1961;34;9;"M";26;"Drama";38;"white";68;33;86;"";;;
"30227";"Germany";"Sylvester Groth";63;1958;17;9;"M";30;"Drama";45;"white";44;38;83;"";;;
"60704";"United Kingdom";"Sean Pertwee";56;1964;32;8;"M";24;"Drama";33;"white";47;38;89;"";;;
"165165";"United States of America";"Wayne Pere";;;29;27;"M";;"Drama";36;"white";91;24;;"";;;
"21549";"France";"Yves Pignot";75;1946;23;2;"M";27;"Comedia";42;"white";51;52;71;"";;;
"27482";"United States of America";"Allen Covert";;;33;0;"M";;"Comedia";68;"white";39;24;;"";;;
"15889";"Canada";"Anna Paquin";38;1982;30;8;"F";12;"Drama";42;"white";100;28;107;"";;;
"90259";"United Kingdom";"Idris Elba";48;1972;53;12;"M";26;"Accion";30;"black";100;33;97;"";;;
"154714";"United States of America";"Julia Jones";40;1981;;;"F";;"";;"latino hispanic";38;27;106;;;;
"21376";"United States of America";"Joaquin Phoenix";46;1974;35;1;"M";11;"Drama";53;"white";86;34;99;"";;;
"104972";"United States of America";"Danny Pino";46;1974;4;12;"M";30;"Drama";43;"latino hispanic";52;22;99;"";;;
"1057";"United States of America";"Jim Jarmusch";68;1953;30;2;"M";30;"Drama";39;"white";56;30;78;"";;;
"134594";"United States of America";"Randall Park";47;1974;20;16;"M";31;"Comedia";57;"asian";99;32;99;"";;;
"20966";"New Zealand";"Russell Crowe";57;1964;50;1;"M";28;"Drama";37;"white";95;38;89;"";;;
"13046";"India";"Om Puri";;1950;29;0;"M";;"Drama";43;"asian";43;52;75;"";;;
"57585";"United States of America";"Jeff Perry";65;1955;6;27;"M";25;"Drama";43;"latino hispanic";37;43;80;"";;;
"15571";"United States of America";"Chris Penn";;1965;39;2;"M";;"Drama";31;"white";99;32;90;"";;;
"2078";"France";"Denis Podalydes";57;1963;49;0;"M";33;"Comedia";30;"white";56;33;88;"";;;
"15956";"United States of America";"Jada Pinkett Smith";49;1971;36;3;"F";20;"Drama";33;"asian";54;31;96;"";;;
"29461";"United States of America";"Trey Parker";51;1969;10;2;"M";24;"Comedia";54;"white";42;33;94;"";;;
